id,name,description,meal_type,supermarket,calories,protein_g,carbs_g,fat_g,fiber_g,ingredients,instructions,difficulty,cost,tags,prep_time_min,servings
"dinner-011","Pollo a la naranja","Pechuga con salsa de naranja","dinner","mercadona",420,36,28,18,2,"[{""name"": ""Pechuga de pollo"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Naranja"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Soja"", ""quantity"": 20, ""unit"": ""ml""}, {""name"": ""Miel"", ""quantity"": 15, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 10, ""unit"": ""ml""}]","1. Dorar pollo. 2. Añadir jugo de naranja, soja y miel. 3. Cocer 10 minutos.","facil","medio","[""cítrico"",""dulce"",""proteico""]",20,1
"dinner-012","Ternera salteada con verduras","Ternera con verduras salteadas","dinner","lidl",480,38,15,28,4,"[{""name"": ""Ternera"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Pimiento"", ""quantity"": 60, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Judías verdes"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}]","1. Saltear ternera en tiras. 2. Añadir verduras. 3. Cocinar 8 minutos.","facil","caro","[""bajo_carbohidratos"",""proteico"",""saludable""]",15,1
"dinner-013","Pescado al papillote","Pescado horneado en papel con verduras","dinner","carrefour",380,35,15,18,5,"[{""name"": ""Pescado blanco"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Calabacín"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 60, ""unit"": ""g""}, {""name"": ""Limón"", ""quantity"": 0.5, ""unit"": ""unidad""}, {""name"": ""Aceite"", ""quantity"": 10, ""unit"": ""ml""}]","1. Colocar pescado sobre papel con verduras. 2. Cerrar bien. 3. Hornear 15 minutos.","medio","medio","[""pescado"",""saludable"",""horno""]",20,1
"dinner-014","Ensalada de atún y judías","Judías blancas con atún y verduras","dinner","mercadona",380,24,38,12,8,"[{""name"": ""Judías blancas"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Atún"", ""quantity"": 60, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Cebolla"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}]","1. Mezclar judías con atún y verduras. 2. Aliñar y servir.","facil","barato","[""frio"",""legumbres"",""proteico"",""rapido""]",10,1
"dinner-015","Pechuga con tomate y orégano","Pechuga a la plancha con tomate","dinner","lidl",380,38,8,20,2,"[{""name"": ""Pechuga de pollo"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Orégano"", ""quantity"": 1, ""unit"": ""cucharadita""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}, {""name"": ""Ajo"", ""quantity"": 1, ""unit"": ""diente""}]","1. Hacer pechuga a la plancha. 2. Sofreír tomate con ajo. 3. Servir con orégano.","facil","barato","[""bajo_carbohidratos"",""proteico"",""rapido""]",15,1
"dinner-016","Sopa de pescado","Sopa con pescado y verduras","dinner","generic",280,24,20,12,3,"[{""name"": ""Pescado"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Caldo"", ""quantity"": 500, ""unit"": ""ml""}, {""name"": ""Patata"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Zanahoria"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 30, ""unit"": ""g""}]","1. Cocer verduras en caldo. 2. Añadir pescado desmenuzado. 3. Servir caliente.","facil","medio","[""sopa"",""pescado"",""caliente""]",25,1
"dinner-017","Pollo relleno de espinacas","Pechuga rellena de espinacas y queso","dinner","mercadona",420,40,6,24,3,"[{""name"": ""Pechuga de pollo"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Espinacas"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Queso"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}, {""name"": ""Ajo"", ""quantity"": 1, ""unit"": ""diente""}]","1. Abrir pechuga en libro. 2. Saltear espinacas. 3. Rellenar y cocinar a la plancha.","medio","medio","[""proteico"",""verduras"",""bajo_carbohidratos""]",25,1
"dinner-018","Tortilla de espárragos","Tortilla con espárragos trigueros","dinner","carrefour",380,20,10,28,4,"[{""name"": ""Huevos"", ""quantity"": 3, ""unit"": ""unidades""}, {""name"": ""Espárragos"", ""quantity"": 120, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 40, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 20, ""unit"": ""ml""}]","1. Saltear espárragos y cebolla. 2. Añadir huevos batidos. 3. Cuajar en sartén.","facil","medio","[""vegetariano"",""tradicional"",""bajo_carbohidratos""]",20,1
"dinner-019","Bacalao con verduras","Bacalao salteado con verduras","dinner","mercadona",360,32,15,18,5,"[{""name"": ""Bacalao"", ""quantity"": 160, ""unit"": ""g""}, {""name"": ""Pimiento"", ""quantity"": 60, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 60, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}]","1. Saltear verduras. 2. Añadir bacalao. 3. Cocinar 8 minutos.","facil","medio","[""pescado"",""saludable"",""bajo_carbohidratos""]",20,1
"dinner-020","Ensalada de pollo y nueces","Ensalada con pollo y nueces","dinner","lidl",420,32,22,22,5,"[{""name"": ""Pechuga de pollo"", ""quantity"": 120, ""unit"": ""g""}, {""name"": ""Lechuga"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Nueces"", ""quantity"": 20, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}]","1. Hacer pollo a la plancha. 2. Cortar lechuga y tomate. 3. Añadir nueces y aliñar.","facil","medio","[""fresco"",""proteico"",""omega3""]",15,1
"dinner-021","Pasta con brócoli y pollo","Pasta integral con brócoli y pollo","dinner","carrefour",480,32,52,14,8,"[{""name"": ""Pasta integral"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Pechuga de pollo"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Brócoli"", ""quantity"": 120, ""unit"": ""g""}, {""name"": ""Ajo"", ""quantity"": 1, ""unit"": ""diente""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}]","1. Cocer pasta y brócoli. 2. Hacer pollo con ajo. 3. Mezclar todo.","facil","medio","[""saludable"",""fibra"",""completo""]",20,1
"dinner-022","Lubina al horno","Lubina con patatas panaderas","dinner","mercadona",420,38,32,18,4,"[{""name"": ""Lubina"", ""quantity"": 200, ""unit"": ""g""}, {""name"": ""Patatas"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 20, ""unit"": ""ml""}, {""name"": ""Ajo"", ""quantity"": 2, ""unit"": ""dientes""}]","1. Colocar lubina sobre patatas y cebolla. 2. Aliñar con ajo y aceite. 3. Hornear 20 minutos.","facil","caro","[""pescado"",""horno"",""saludable""]",25,1
"dinner-023","Pollo con guisantes","Pollo guisado con guisantes","dinner","lidl",450,35,25,20,6,"[{""name"": ""Muslos de pollo"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Guisantes"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Zanahoria"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Caldo"", ""quantity"": 150, ""unit"": ""ml""}]","1. Dorar pollo. 2. Añadir verduras y caldo. 3. Cocer 25 minutos.","facil","barato","[""tradicional"",""potaje"",""caliente""]",35,1
"dinner-024","Pimientos del piquillo rellenos","Pimientos rellenos de atún","dinner","carrefour",320,20,18,20,3,"[{""name"": ""Pimientos del piquillo"", ""quantity"": 6, ""unit"": ""unidades""}, {""name"": ""Atún"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Queso"", ""quantity"": 20, ""unit"": ""g""}]","1. Mezclar atún con cebolla y tomate. 2. Rellenar pimientos. 3. Hornear 15 minutos.","medio","medio","[""pescado"",""horno"",""tradicional""]",20,1
"dinner-025","Revuelto de jamón y espárragos","Huevos revueltos con jamón y espárragos","dinner","mercadona",380,22,8,28,4,"[{""name"": ""Huevos"", ""quantity"": 3, ""unit"": ""unidades""}, {""name"": ""Jamón serrano"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Espárragos"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}]","1. Saltear espárragos y jamón. 2. Añadir huevos batidos. 3. Cuajar a fuego lento.","facil","medio","[""proteico"",""bajo_carbohidratos"",""rapido""]",10,1
"dinner-026","Salmón en salsa de soja","Salmón glaseado con soja y jengibre","dinner","mercadona",460,36,10,28,2,"[{""name"": ""Salmón"", ""quantity"": 160, ""unit"": ""g""}, {""name"": ""Soja"", ""quantity"": 30, ""unit"": ""ml""}, {""name"": ""Jengibre"", ""quantity"": 5, ""unit"": ""g""}, {""name"": ""Miel"", ""quantity"": 15, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 10, ""unit"": ""ml""}]","1. Mezclar soja, jengibre y miel. 2. Marinar salmón. 3. Cocinar a la plancha 6 minutos por lado.","facil","caro","[""pescado"",""asiático"",""omega3""]",15,1
"dinner-027","Lentejas con verduras","Lentejas estofadas con verduras","dinner","generic",380,22,50,12,10,"[{""name"": ""Lentejas"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Zanahoria"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Caldo"", ""quantity"": 400, ""unit"": ""ml""}]","1. Sofreír verduras. 2. Añadir lentejas y caldo. 3. Cocer 30 minutos.","facil","barato","[""legumbres"",""vegano"",""potaje""]",40,1
"dinner-028","Merluza rebozada","Merluza empanada con limón","dinner","lidl",420,32,28,18,3,"[{""name"": ""Merluza"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Huevo"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Pan rallado"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Limón"", ""quantity"": 0.5, ""unit"": ""unidad""}, {""name"": ""Aceite"", ""quantity"": 20, ""unit"": ""ml""}]","1. Pasar pescado por huevo y pan rallado. 2. Freír en aceite caliente. 3. Servir con limón.","facil","medio","[""pescado"",""crujiente"",""tradicional""]",15,1
"dinner-029","Pollo con salsa de almendras","Pechuga con salsa de almendras","dinner","carrefour",450,38,8,28,2,"[{""name"": ""Pechuga de pollo"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Almendras"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Nata"", ""quantity"": 50, ""unit"": ""ml""}, {""name"": ""Cebolla"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 10, ""unit"": ""ml""}]","1. Dorar pollo. 2. Triturar almendras con nata y cebolla. 3. Cocer pollo en salsa 10 minutos.","medio","medio","[""crema"",""proteico"",""frutos_secos""]",20,1
"dinner-030","Ensalada templada de pollo","Pollo caliente sobre lechuga con vinagreta","dinner","mercadona",400,34,12,24,4,"[{""name"": ""Pechuga de pollo"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Lechuga"", ""quantity"": 120, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}, {""name"": ""Vinagre"", ""quantity"": 10, ""unit"": ""ml""}]","1. Hacer pollo a la plancha. 2. Preparar lechuga y tomate. 3. Servir pollo caliente sobre ensalada con vinagreta.","facil","medio","[""templado"",""proteico"",""saludable""]",15,1
"dinner-031","Pasta con gambas","Pasta con gambas y ajo","dinner","lidl",520,28,52,22,4,"[{""name"": ""Pasta"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Gambas"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Ajo"", ""quantity"": 3, ""unit"": ""dientes""}, {""name"": ""Perejil"", ""quantity"": 1, ""unit"": ""cucharada""}, {""name"": ""Aceite"", ""quantity"": 20, ""unit"": ""ml""}]","1. Cocer pasta. 2. Saltear gambas con ajo. 3. Mezclar todo con perejil.","medio","caro","[""marisco"",""italiano"",""rapido""]",20,1
"dinner-032","Crema de calabaza y jengibre","Crema con toque de jengibre","dinner","generic",220,6,34,10,4,"[{""name"": ""Calabaza"", ""quantity"": 300, ""unit"": ""g""}, {""name"": ""Jengibre"", ""quantity"": 10, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Caldo"", ""quantity"": 500, ""unit"": ""ml""}, {""name"": ""Nata"", ""quantity"": 30, ""unit"": ""ml""}]","1. Cocer calabaza con cebolla y jengibre. 2. Triturar con nata. 3. Servir caliente.","facil","barato","[""crema"",""saludable"",""otoño"",""vegano""]",30,1
"dinner-033","Pollo al jerez","Pollo con salsa de jerez","dinner","mercadona",420,36,12,22,1,"[{""name"": ""Muslos de pollo"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Vino jerez"", ""quantity"": 50, ""unit"": ""ml""}, {""name"": ""Cebolla"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}, {""name"": ""Ajo"", ""quantity"": 1, ""unit"": ""diente""}]","1. Dorar pollo. 2. Añadir cebolla y vino. 3. Cocer 20 minutos.","medio","medio","[""tradicional"",""salsa"",""caliente""]",30,1
"dinner-034","Judías verdes con tomate","Judías verdes salteadas con tomate","dinner","carrefour",280,12,20,14,5,"[{""name"": ""Judías verdes"", ""quantity"": 250, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 40, ""unit"": ""g""}, {""name"": ""Ajo"", ""quantity"": 1, ""unit"": ""diente""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}]","1. Cocer judías. 2. Sofreír tomate con cebolla y ajo. 3. Mezclar todo.","facil","barato","[""verduras"",""vegano"",""saludable""]",20,1
"dinner-035","Tacos de ternera","Tacos con ternera y guacamole","dinner","mercadona",520,32,42,24,5,"[{""name"": ""Ternera"", ""quantity"": 120, ""unit"": ""g""}, {""name"": ""Tortillas"", ""quantity"": 3, ""unit"": ""unidades""}, {""name"": ""Aguacate"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Tomate"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Cebolla"", ""quantity"": 30, ""unit"": ""g""}]","1. Cocinar ternera con especias. 2. Hacer guacamole. 3. Montar tacos.","medio","medio","[""mexicano"",""picante"",""fresco""]",25,1
"dinner-036","Pescado al vapor con verduras","Pescado cocido al vapor","dinner","lidl",320,32,18,14,5,"[{""name"": ""Pescado blanco"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Judías verdes"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Zanahoria"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Limón"", ""quantity"": 0.5, ""unit"": ""unidad""}, {""name"": ""Aceite"", ""quantity"": 10, ""unit"": ""ml""}]","1. Cocinar pescado al vapor con verduras. 2. Servir con limón y aceite.","facil","medio","[""pescado"",""saludable"",""bajo_calorias""]",15,1
"dinner-037","Arroz con verduras y huevo","Arroz salteado con verduras y huevo","dinner","generic",420,14,55,14,6,"[{""name"": ""Arroz"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Huevo"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Guisantes"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Zanahoria"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 30, ""unit"": ""g""}]","1. Cocer arroz. 2. Saltear verduras. 3. Añadir huevo y arroz. 4. Mezclar bien.","facil","barato","[""vegetariano"",""asiático"",""completo""]",20,1
"dinner-038","Pechuga al vino blanco","Pechuga con salsa de vino","dinner","mercadona",380,40,6,18,1,"[{""name"": ""Pechuga de pollo"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Vino blanco"", ""quantity"": 50, ""unit"": ""ml""}, {""name"": ""Cebolla"", ""quantity"": 40, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}, {""name"": ""Perejil"", ""quantity"": 1, ""unit"": ""cucharada""}]","1. Dorar pechuga. 2. Añadir cebolla y vino. 3. Cocer 15 minutos.","facil","medio","[""proteico"",""salsa"",""bajo_carbohidratos""]",20,1
"dinner-039","Crema de espinacas","Crema de espinacas con queso","dinner","carrefour",280,12,28,14,4,"[{""name"": ""Espinacas"", ""quantity"": 200, ""unit"": ""g""}, {""name"": ""Patata"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Queso"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Caldo"", ""quantity"": 400, ""unit"": ""ml""}, {""name"": ""Nata"", ""quantity"": 30, ""unit"": ""ml""}]","1. Cocer espinacas y patata en caldo. 2. Triturar con nata. 3. Servir con queso.","facil","barato","[""crema"",""vegetariano"",""verduras""]",20,1
"dinner-040","Pechuga grillada con ensalada","Pechuga a la plancha con ensalada verde","dinner","lidl",400,42,10,20,4,"[{""name"": ""Pechuga de pollo"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Lechuga"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Pepino"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}]","1. Hacer pechuga a la plancha. 2. Preparar ensalada. 3. Servir junto.","facil","barato","[""proteico"",""bajo_carbohidratos"",""saludable""]",15,1
"dinner-041","Tortilla de jamón y champiñones","Tortilla con jamón y champiñones","dinner","generic",420,24,8,32,3,"[{""name"": ""Huevos"", ""quantity"": 3, ""unit"": ""unidades""}, {""name"": ""Jamón serrano"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Champiñones"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 20, ""unit"": ""ml""}]","1. Saltear jamón y champiñones. 2. Añadir huevos batidos. 3. Cuajar en sartén.","facil","medio","[""proteico"",""bajo_carbohidratos"",""tradicional""]",15,1
"dinner-042","Gambas al ajillo","Gambas con ajo y guindilla","dinner","mercadona",320,28,4,20,1,"[{""name"": ""Gambas"", ""quantity"": 200, ""unit"": ""g""}, {""name"": ""Ajo"", ""quantity"": 4, ""unit"": ""dientes""}, {""name"": ""Guindilla"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Aceite"", ""quantity"": 30, ""unit"": ""ml""}, {""name"": ""Perejil"", ""quantity"": 1, ""unit"": ""cucharada""}]","1. Calentar aceite con ajo y guindilla. 2. Añadir gambas. 3. Cocinar 3 minutos.","facil","caro","[""marisco"",""tapa"",""picante""]",10,1
"dinner-043","Pollo con tomate casero","Pollo en salsa de tomate","dinner","lidl",420,36,15,18,3,"[{""name"": ""Muslos de pollo"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Tomate frito"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Pimiento"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}]","1. Dorar pollo. 2. Sofreír cebolla y pimiento. 3. Añadir tomate y cocer 20 minutos.","facil","barato","[""tradicional"",""salsa"",""caliente""]",35,1
"dinner-044","Salmón con patatas","Salmón a la plancha con patatas","dinner","mercadona",480,36,40,22,4,"[{""name"": ""Salmón"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Patatas"", ""quantity"": 200, ""unit"": ""g""}, {""name"": ""Limón"", ""quantity"": 0.5, ""unit"": ""unidad""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}, {""name"": ""Eneldo"", ""quantity"": 1, ""unit"": ""cucharadita""}]","1. Cocer patatas. 2. Hacer salmón a la plancha. 3. Servir con limón y eneldo.","facil","caro","[""pescado"",""omega3"",""saludable""]",25,1
